label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
binary_L11,kokkos,1,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3876,0.000670869,0.214964,0.215055
binary_L11,kokkos,1,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.221073,0.221162
binary_L11,kokkos,1,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.21949,0.219579
binary_L11,kokkos,2,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3876,0.000670869,0.225026,0.225115
binary_L11,kokkos,2,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3886,0.000670869,0.218669,0.218758
binary_L11,kokkos,2,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.178755,0.178844
binary_L11,kokkos,4,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.169855,0.169943
binary_L11,kokkos,4,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.173241,0.173294
binary_L11,kokkos,4,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.323174,0.323262
binary_L11,kokkos,8,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.213954,0.214044
binary_L11,kokkos,8,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.218139,0.218227
binary_L11,kokkos,8,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.21988,0.219968
binary_L11,kokkos,16,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.213906,0.213994
binary_L11,kokkos,16,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.218273,0.218362
binary_L11,kokkos,16,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.219486,0.219578
binary_L11,kokkos,32,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.214209,0.214298
binary_L11,kokkos,32,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.218299,0.218388
binary_L11,kokkos,32,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.219433,0.219521
binary_L11,kokkos,64,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.217077,0.217166
binary_L11,kokkos,64,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.218372,0.218461
binary_L11,kokkos,64,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3884,0.000670869,0.219763,0.219851
binary_L11,kokkos,96,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.213956,0.214045
binary_L11,kokkos,96,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.219478,0.219565
binary_L11,kokkos,96,samples/binary_5x5.txt,2,32,32,44,2,1,1,521,3883,0.000670869,0.219417,0.219506
binary_L11,kokkos,192,samples/binary_5x5.txt,2,32,32,42,0,1,1,493,3877,0.000670869,0.214015,0.214103
binary_L11,kokkos,192,samples/binary_5x5.txt,2,32,32,43,1,1,1,507,3887,0.000670869,0.21445,0.214539
